Run ID	Architecture	Dataset Setup	Loss Function	Augmentation	Test Skin Acc	Test Skin F1	Test Lesion Acc	Test Lesion F1	Test BM Acc	Test BM F1	Notes
exp1_multi_focal_balanced	multi	exp1_balanced	focal	None	1.00000	1.00000	0.12500	0.02778	0.57143	0.36364	Run ID: dw2qu7te
exp1_multi_focal_full	multi	exp1_full	focal	None	0.99652	0.94688	0.12420	0.08834	0.73982	0.70528	Run ID: 7gwc3ky8
exp1_multi_focal_mixup_balanced_balanced_mixup	multi	exp1_balanced	focal	MixUp	1.00000	1.00000	0.12500	0.02778	0.57143	0.36364	Run ID: w6nw3tex
exp1_multi_focal_mixup_full_balanced_mixup	multi	exp1_full	focal	MixUp	0.98410	0.49599	0.54698	0.08839	0.68634	0.40700	Run ID: mindicrq
exp1_multi_weightedce_balanced	multi	exp1_balanced	weighted CE	None	1.00000	1.00000	0.12500	0.02778	0.57143	0.36364	Run ID: gnz0m3q3
exp1_multi_weightedce_full	multi	exp1_full	weighted CE	None	0.99752	0.95969	0.53185	0.18844	0.73446	0.70974	Run ID: ohbe97ax
exp1_multi_weightedce_mixup_balanced_balanced_mixup	multi	exp1_balanced	weighted CE	MixUp	1.00000	1.00000	0.12500	0.02778	0.57143	0.36364	Run ID: s83ov8wl
exp1_multi_weightedce_mixup_full_balanced_mixup	multi	exp1_full	weighted CE	MixUp	0.98410	0.49599	0.54698	0.08839	0.68634	0.40700	Run ID: 4ewhxr6t
exp1_parallel_focal_balanced	parallel	exp1_balanced	focal	None	1.00000	1.00000	0.23611	0.15947	0.69206	0.69361	Run ID: 9a8yltze
exp1_parallel_focal_full	parallel	exp1_full	focal	None	0.99990	0.99990	0.01940	0.00182	0.79071	0.78913	Run ID: n9py7ubu
exp1_parallel_focal_mixup_balanced_balanced_mixup	parallel	exp1_balanced	focal	MixUp	1.00000	1.00000	0.27222	0.24216	0.57143	0.41558	Run ID: yzg8xep1
exp1_parallel_focal_mixup_full_balanced_mixup	parallel	exp1_full	focal	MixUp	0.98410	0.97621	0.50605	0.54849	0.68634	0.55868	Run ID: fijncxc5
exp1_parallel_weightedce_balanced	parallel	exp1_balanced	weighted CE	None	1.00000	1.00000	0.28333	0.23504	0.70159	0.70308	Run ID: xp32okkw
exp1_parallel_weightedce_full	parallel	exp1_full	weighted CE	None	0.99573	0.99542	0.42046	0.45084	0.73945	0.74077	Run ID: 79uk3rt4
exp1_parallel_weightedce_full	parallel	exp1_full	weighted CE	None	0.99831	0.99828	0.52313	0.56093	0.79256	0.78967	Run ID: vofqi1nu
exp1_parallel_weightedce_mixup_balanced_balanced_mixup	parallel	exp1_balanced	weighted CE	MixUp	1.00000	1.00000	0.26111	0.18877	0.57143	0.41558	Run ID: frwaiueh
exp1_parallel_weightedce_mixup_full_balanced_mixup	parallel	exp1_full	weighted CE	MixUp	0.98410	0.97621	0.51050	0.55561	0.68634	0.55868	Run ID: bl3e1ci6
